kommunenummer,kommune,fylkesnummer,fylke,aar_start,aar_slutt,folkemengde_start,folkemengde_slutt,vekst,vekst_pst,fodselsoverskudd_sum,nettoinnflytting_sum,folketilvekst_sum,restledd_sum,grenseavvik_sum,grenseavvik_maks_pst,grenseavvik_maks_aar,aar_uten_folketall,aar_med_stromtall,sammenlignbar,rangering
5049,Flatanger,50,Trøndelag - Trööndelage,2011,2026,1109,1110,1,0.0009017132551848512,-67.0,68.0,1.0,0.0,0.0,0.0,2011,0.0,15,true,201
4635,Gulen,46,Vestland,2011,2026,2299,2301,2,0.0008699434536755111,-58.0,56.0,2.0,4.0,0.0,0.0,2011,0.0,15,true,202
1560,Tingvoll,15,Møre og Romsdal,2011,2026,3065,3066,1,0.0003262642740619902,-147.0,145.0,1.0,3.0,0.0,0.0,2011,0.0,15,true,203
4634,Masfjorden,46,Vestland,2011,2026,1672,1672,0,0.0,-64.0,65.0,0.0,-1.0,0.0,0.0,2011,0.0,15,true,204
4642,Lærdal,46,Vestland,2011,2026,2224,2223,-1,-0.0004496402877697842,-86.0,88.0,-1.0,-3.0,0.0,0.0,2011,0.0,15,true,205
4617,Kvinnherad,46,Vestland,2011,2026,13243,13236,-7,-0.0005285811372045609,29.0,11.0,-7.0,-47.0,0.0,0.0,2011,0.0,15,true,206
5518,Loabák - Lavangen,55,Troms - Romsa - Tromssa,2011,2026,1003,1002,-1,-0.0009970089730807576,-81.0,80.0,-1.0,0.0,0.0,0.0,2011,0.0,15,true,207
1827,Dønna,18,Nordland - Nordlánnda,2011,2026,1449,1445,-4,-0.0027605244996549345,-115.0,114.0,-4.0,-3.0,0.0,0.0,2011,0.0,15,true,208
3332,Sigdal,33,Buskerud,2011,2026,3524,3514,-10,-0.0028376844494892167,-220.0,211.0,-10.0,-1.0,0.0,0.0,2011,0.0,15,true,209
4620,Ulvik,46,Vestland,2011,2026,1118,1114,-4,-0.0035778175313059034,-99.0,97.0,-4.0,-2.0,0.0,0.0,2011,0.0,15,true,210
